Description,Function 0,Function 1,Function 2,Function 3
Linear (no noise) - ls=0.0162 - k=0.1,nan,nan,nan,nan
Linear (no noise) - ls=0.0162 - k=0.4,nan,nan,nan,nan
Linear (no noise) - ls=0.0162 - k=0.7,nan,nan,nan,nan
Linear (no noise) - ls=0.0162 - k=1.0,nan,nan,nan,nan
Linear (no noise) - ls=0.0162 - k=1.3,nan,nan,nan,nan
RBF - ls=0.0162 - k=0.1,nan,nan,nan,nan
RBF - ls=0.0162 - k=0.4,nan,nan,nan,nan
RBF - ls=0.0162 - k=0.7,nan,nan,nan,nan
RBF - ls=0.0162 - k=1.0,nan,nan,nan,21
RBF - ls=0.0162 - k=1.3,nan,nan,nan,nan
Matern52 {'nu': 2.5} - ls=0.0162 - k=0.1,nan,9,nan,nan
Matern52 {'nu': 2.5} - ls=0.0162 - k=0.4,nan,nan,nan,nan
Matern52 {'nu': 2.5} - ls=0.0162 - k=0.7,nan,nan,nan,nan
Matern52 {'nu': 2.5} - ls=0.0162 - k=1.0,nan,nan,nan,nan
Matern52 {'nu': 2.5} - ls=0.0162 - k=1.3,nan,nan,nan,13
RationalQuadratic {'alpha': 0.2} - ls=0.0162 - k=0.1,nan,nan,nan,19
RationalQuadratic {'alpha': 0.2} - ls=0.0162 - k=0.4,9,nan,nan,nan
RationalQuadratic {'alpha': 0.2} - ls=0.0162 - k=0.7,nan,11,nan,nan
RationalQuadratic {'alpha': 0.2} - ls=0.0162 - k=1.0,nan,16,17,nan
RationalQuadratic {'alpha': 0.2} - ls=0.0162 - k=1.3,nan,10,26,26
RationalQuadratic {'alpha': 0.4} - ls=0.0162 - k=0.1,nan,nan,nan,nan
RationalQuadratic {'alpha': 0.4} - ls=0.0162 - k=0.4,nan,nan,nan,14
RationalQuadratic {'alpha': 0.4} - ls=0.0162 - k=0.7,14,nan,nan,26
RationalQuadratic {'alpha': 0.4} - ls=0.0162 - k=1.0,nan,nan,nan,9
RationalQuadratic {'alpha': 0.4} - ls=0.0162 - k=1.3,nan,nan,nan,nan
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.0162 - k=0.1,nan,7,nan,10
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.0162 - k=0.4,nan,nan,nan,nan
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.0162 - k=0.7,nan,18,23,nan
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.0162 - k=1.0,nan,14,nan,nan
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.0162 - k=1.3,nan,nan,nan,nan
RationalQuadratic {'alpha': 0.8} - ls=0.0162 - k=0.1,nan,17,nan,nan
RationalQuadratic {'alpha': 0.8} - ls=0.0162 - k=0.4,nan,nan,nan,nan
RationalQuadratic {'alpha': 0.8} - ls=0.0162 - k=0.7,12,nan,nan,nan
RationalQuadratic {'alpha': 0.8} - ls=0.0162 - k=1.0,nan,19,nan,nan
RationalQuadratic {'alpha': 0.8} - ls=0.0162 - k=1.3,nan,26,nan,nan
RationalQuadratic {'alpha': 1.0} - ls=0.0162 - k=0.1,nan,nan,nan,nan
RationalQuadratic {'alpha': 1.0} - ls=0.0162 - k=0.4,nan,nan,nan,nan
RationalQuadratic {'alpha': 1.0} - ls=0.0162 - k=0.7,nan,10,nan,nan
RationalQuadratic {'alpha': 1.0} - ls=0.0162 - k=1.0,nan,nan,nan,14
RationalQuadratic {'alpha': 1.0} - ls=0.0162 - k=1.3,nan,nan,nan,9
RationalQuadratic {'alpha': 1.2} - ls=0.0162 - k=0.1,23,nan,nan,nan
RationalQuadratic {'alpha': 1.2} - ls=0.0162 - k=0.4,nan,12,nan,16
RationalQuadratic {'alpha': 1.2} - ls=0.0162 - k=0.7,20,nan,nan,7
RationalQuadratic {'alpha': 1.2} - ls=0.0162 - k=1.0,nan,nan,nan,21
RationalQuadratic {'alpha': 1.2} - ls=0.0162 - k=1.3,7,10,nan,nan
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.0162 - k=0.1,nan,nan,nan,19
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.0162 - k=0.4,nan,16,nan,nan
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.0162 - k=0.7,7,nan,nan,18
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.0162 - k=1.0,nan,nan,15,30
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.0162 - k=1.3,nan,12,nan,nan
RationalQuadratic {'alpha': 1.6} - ls=0.0162 - k=0.1,nan,nan,nan,nan
RationalQuadratic {'alpha': 1.6} - ls=0.0162 - k=0.4,8,nan,nan,nan
RationalQuadratic {'alpha': 1.6} - ls=0.0162 - k=0.7,nan,15,nan,15
RationalQuadratic {'alpha': 1.6} - ls=0.0162 - k=1.0,nan,nan,nan,nan
RationalQuadratic {'alpha': 1.6} - ls=0.0162 - k=1.3,nan,nan,22,nan
RationalQuadratic {'alpha': 1.8} - ls=0.0162 - k=0.1,nan,18,nan,nan
RationalQuadratic {'alpha': 1.8} - ls=0.0162 - k=0.4,nan,nan,nan,21
RationalQuadratic {'alpha': 1.8} - ls=0.0162 - k=0.7,nan,nan,nan,nan
RationalQuadratic {'alpha': 1.8} - ls=0.0162 - k=1.0,19,19,nan,nan
RationalQuadratic {'alpha': 1.8} - ls=0.0162 - k=1.3,nan,nan,11,nan
Best: no valid scenarios found (all disqualified due to NaN or zero-only results).
