Description,Function 0,Function 1,Function 2,Function 3
Linear (no noise) - ls=0.001 - k=0.1,nan,nan,nan,nan
Linear (no noise) - ls=0.001 - k=0.4,0,nan,nan,nan
Linear (no noise) - ls=0.001 - k=0.7,nan,nan,0,nan
Linear (no noise) - ls=0.001 - k=1.0,nan,nan,nan,nan
Linear (no noise) - ls=0.001 - k=1.3,nan,nan,nan,nan
RBF - ls=0.001 - k=0.1,28,0,3,15
RBF - ls=0.001 - k=0.4,10,nan,12,26
RBF - ls=0.001 - k=0.7,8,nan,9,29
RBF - ls=0.001 - k=1.0,14,nan,9,19
RBF - ls=0.001 - k=1.3,15,nan,12,0
Matern52 {'nu': 2.5} - ls=0.001 - k=0.1,12,nan,0,9
Matern52 {'nu': 2.5} - ls=0.001 - k=0.4,9,nan,6,26
Matern52 {'nu': 2.5} - ls=0.001 - k=0.7,15,nan,7,16
Matern52 {'nu': 2.5} - ls=0.001 - k=1.0,7,nan,7,0
Matern52 {'nu': 2.5} - ls=0.001 - k=1.3,11,nan,11,25
RationalQuadratic {'alpha': 0.2} - ls=0.001 - k=0.1,17,nan,8,9
RationalQuadratic {'alpha': 0.2} - ls=0.001 - k=0.4,0,nan,1,11
RationalQuadratic {'alpha': 0.2} - ls=0.001 - k=0.7,4,nan,0,12
RationalQuadratic {'alpha': 0.2} - ls=0.001 - k=1.0,29,nan,1,0
RationalQuadratic {'alpha': 0.2} - ls=0.001 - k=1.3,7,13,0,nan
RationalQuadratic {'alpha': 0.4} - ls=0.001 - k=0.1,9,10,6,0
RationalQuadratic {'alpha': 0.4} - ls=0.001 - k=0.4,5,nan,5,6
RationalQuadratic {'alpha': 0.4} - ls=0.001 - k=0.7,0,nan,8,30
RationalQuadratic {'alpha': 0.4} - ls=0.001 - k=1.0,14,nan,5,nan
RationalQuadratic {'alpha': 0.4} - ls=0.001 - k=1.3,19,3,3,4
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.001 - k=0.1,7,nan,6,1
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.001 - k=0.4,6,nan,8,5
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.001 - k=0.7,0,nan,4,15
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.001 - k=1.0,3,5,13,nan
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.001 - k=1.3,18,0,16,nan
RationalQuadratic {'alpha': 0.8} - ls=0.001 - k=0.1,nan,nan,8,6
RationalQuadratic {'alpha': 0.8} - ls=0.001 - k=0.4,11,nan,8,nan
RationalQuadratic {'alpha': 0.8} - ls=0.001 - k=0.7,7,nan,8,6
RationalQuadratic {'alpha': 0.8} - ls=0.001 - k=1.0,2,nan,18,0
RationalQuadratic {'alpha': 0.8} - ls=0.001 - k=1.3,0,nan,21,nan
RationalQuadratic {'alpha': 1.0} - ls=0.001 - k=0.1,6,nan,4,11
RationalQuadratic {'alpha': 1.0} - ls=0.001 - k=0.4,21,nan,1,4
RationalQuadratic {'alpha': 1.0} - ls=0.001 - k=0.7,0,nan,3,nan
RationalQuadratic {'alpha': 1.0} - ls=0.001 - k=1.0,2,1,5,0
RationalQuadratic {'alpha': 1.0} - ls=0.001 - k=1.3,nan,nan,8,9
RationalQuadratic {'alpha': 1.2} - ls=0.001 - k=0.1,16,nan,0,6
RationalQuadratic {'alpha': 1.2} - ls=0.001 - k=0.4,0,0,9,18
RationalQuadratic {'alpha': 1.2} - ls=0.001 - k=0.7,18,nan,0,7
RationalQuadratic {'alpha': 1.2} - ls=0.001 - k=1.0,nan,nan,12,27
RationalQuadratic {'alpha': 1.2} - ls=0.001 - k=1.3,30,nan,4,12
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.001 - k=0.1,10,18,0,9
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.001 - k=0.4,7,nan,2,0
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.001 - k=0.7,6,nan,2,21
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.001 - k=1.0,13,nan,5,15
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.001 - k=1.3,6,nan,5,nan
RationalQuadratic {'alpha': 1.6} - ls=0.001 - k=0.1,10,nan,0,4
RationalQuadratic {'alpha': 1.6} - ls=0.001 - k=0.4,16,14,5,0
RationalQuadratic {'alpha': 1.6} - ls=0.001 - k=0.7,10,nan,6,7
RationalQuadratic {'alpha': 1.6} - ls=0.001 - k=1.0,11,20,5,28
RationalQuadratic {'alpha': 1.6} - ls=0.001 - k=1.3,9,nan,6,25
RationalQuadratic {'alpha': 1.8} - ls=0.001 - k=0.1,13,nan,3,10
RationalQuadratic {'alpha': 1.8} - ls=0.001 - k=0.4,13,nan,11,6
RationalQuadratic {'alpha': 1.8} - ls=0.001 - k=0.7,9,nan,9,12
RationalQuadratic {'alpha': 1.8} - ls=0.001 - k=1.0,18,13,6,nan
RationalQuadratic {'alpha': 1.8} - ls=0.001 - k=1.3,10,nan,0,17
Best: RationalQuadratic {'alpha': 1.0} - ls=0.001 - k=1.0 with avg iterations: 2.67
