Description,Function 0,Function 1,Function 2,Function 3
Linear (no noise) - ls=0.8 - k=0.1,nan,nan,nan,nan
Linear (no noise) - ls=0.8 - k=0.4,nan,nan,nan,nan
Linear (no noise) - ls=0.8 - k=0.7,nan,nan,nan,nan
Linear (no noise) - ls=0.8 - k=1.0,nan,nan,nan,nan
Linear (no noise) - ls=0.8 - k=1.3,nan,nan,nan,nan
RBF - ls=0.8 - k=0.1,8,5,nan,14
RBF - ls=0.8 - k=0.4,10,nan,10,9
RBF - ls=0.8 - k=0.7,11,nan,nan,nan
RBF - ls=0.8 - k=1.0,11,0,9,11
RBF - ls=0.8 - k=1.3,9,nan,9,7
Matern52 {'nu': 2.5} - ls=0.8 - k=0.1,nan,nan,4,1
Matern52 {'nu': 2.5} - ls=0.8 - k=0.4,nan,nan,nan,2
Matern52 {'nu': 2.5} - ls=0.8 - k=0.7,2,nan,4,2
Matern52 {'nu': 2.5} - ls=0.8 - k=1.0,nan,nan,nan,4
Matern52 {'nu': 2.5} - ls=0.8 - k=1.3,6,nan,nan,nan
RationalQuadratic {'alpha': 0.2} - ls=0.8 - k=0.1,2,nan,3,1
RationalQuadratic {'alpha': 0.2} - ls=0.8 - k=0.4,4,nan,4,nan
RationalQuadratic {'alpha': 0.2} - ls=0.8 - k=0.7,6,nan,13,3
RationalQuadratic {'alpha': 0.2} - ls=0.8 - k=1.0,3,nan,4,nan
RationalQuadratic {'alpha': 0.2} - ls=0.8 - k=1.3,0,nan,nan,nan
RationalQuadratic {'alpha': 0.4} - ls=0.8 - k=0.1,6,nan,nan,4
RationalQuadratic {'alpha': 0.4} - ls=0.8 - k=0.4,2,nan,nan,3
RationalQuadratic {'alpha': 0.4} - ls=0.8 - k=0.7,nan,nan,5,nan
RationalQuadratic {'alpha': 0.4} - ls=0.8 - k=1.0,2,nan,nan,nan
RationalQuadratic {'alpha': 0.4} - ls=0.8 - k=1.3,11,nan,nan,2
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.8 - k=0.1,4,nan,9,nan
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.8 - k=0.4,1,nan,12,5
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.8 - k=0.7,2,nan,3,2
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.8 - k=1.0,4,nan,7,3
RationalQuadratic {'alpha': 0.6000000000000001} - ls=0.8 - k=1.3,nan,nan,nan,nan
RationalQuadratic {'alpha': 0.8} - ls=0.8 - k=0.1,3,nan,nan,1
RationalQuadratic {'alpha': 0.8} - ls=0.8 - k=0.4,3,nan,10,3
RationalQuadratic {'alpha': 0.8} - ls=0.8 - k=0.7,1,nan,6,nan
RationalQuadratic {'alpha': 0.8} - ls=0.8 - k=1.0,5,nan,nan,1
RationalQuadratic {'alpha': 0.8} - ls=0.8 - k=1.3,5,nan,nan,5
RationalQuadratic {'alpha': 1.0} - ls=0.8 - k=0.1,3,0,nan,nan
RationalQuadratic {'alpha': 1.0} - ls=0.8 - k=0.4,2,nan,5,2
RationalQuadratic {'alpha': 1.0} - ls=0.8 - k=0.7,3,nan,3,1
RationalQuadratic {'alpha': 1.0} - ls=0.8 - k=1.0,0,nan,4,nan
RationalQuadratic {'alpha': 1.0} - ls=0.8 - k=1.3,3,nan,nan,2
RationalQuadratic {'alpha': 1.2} - ls=0.8 - k=0.1,2,nan,3,nan
RationalQuadratic {'alpha': 1.2} - ls=0.8 - k=0.4,5,0,1,nan
RationalQuadratic {'alpha': 1.2} - ls=0.8 - k=0.7,3,nan,0,nan
RationalQuadratic {'alpha': 1.2} - ls=0.8 - k=1.0,nan,nan,nan,nan
RationalQuadratic {'alpha': 1.2} - ls=0.8 - k=1.3,6,nan,3,nan
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.8 - k=0.1,5,nan,nan,1
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.8 - k=0.4,1,nan,nan,nan
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.8 - k=0.7,3,0,3,3
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.8 - k=1.0,4,0,0,4
RationalQuadratic {'alpha': 1.4000000000000001} - ls=0.8 - k=1.3,4,nan,27,nan
RationalQuadratic {'alpha': 1.6} - ls=0.8 - k=0.1,7,nan,4,nan
RationalQuadratic {'alpha': 1.6} - ls=0.8 - k=0.4,1,nan,2,3
RationalQuadratic {'alpha': 1.6} - ls=0.8 - k=0.7,1,nan,2,nan
RationalQuadratic {'alpha': 1.6} - ls=0.8 - k=1.0,4,nan,nan,3
RationalQuadratic {'alpha': 1.6} - ls=0.8 - k=1.3,8,nan,0,nan
RationalQuadratic {'alpha': 1.8} - ls=0.8 - k=0.1,3,nan,0,6
RationalQuadratic {'alpha': 1.8} - ls=0.8 - k=0.4,2,nan,7,2
RationalQuadratic {'alpha': 1.8} - ls=0.8 - k=0.7,3,nan,nan,1
RationalQuadratic {'alpha': 1.8} - ls=0.8 - k=1.0,3,nan,2,2
RationalQuadratic {'alpha': 1.8} - ls=0.8 - k=1.3,6,nan,14,2
